patent_id,inventor_id,company_id
10003062,fl:ne_ln:swenson-1,331621c5-64ce-4538-af8e-0f5513742cf3
10020218,fl:we_ln:boyd-1,69a10d5a-b7d5-4de3-8ffb-1b8a92b69475
10004532,fl:no_ln:ogasawara-2,d7855387-196e-4bb0-8e07-bf549f3f98d2
10009123,fl:fa_ln:li-98,cbc31957-5625-4c60-be87-a8918629bba8
10024833,fl:ya_ln:gu-22,787addf6-1e95-47cd-a1f9-23a4a746b26b
10014148,fl:yu_ln:li-432,ff8cb46e-f01f-4e3f-aa29-93ef914e0292
10004978,fl:ri_ln:carlow-1,
10024795,fl:hy_ln:kang-100,533e0469-baac-46b7-9576-669db08092eb
10002015,fl:ge_ln:mcbrearty-1,29b8f534-149e-443c-b76b-3c4a222da89c
10001133,fl:ha_ln:mays-2,7a180ecb-ef32-4fef-8b48-435feb0e879a
10001876,fl:xi_ln:li-710,170e7aa9-59bb-4310-8df9-701126cf2893
10020357,fl:sc_ln:woodford-1,199111ea-dd27-4937-9820-93cde6f3426b
10022758,fl:ta_ln:ajishi-1,5d4f358a-1d7b-49f2-b132-6bb9c2cfd725
10001557,fl:da_ln:okuya-1,515be203-2120-406a-bf11-9679c5f8f566
10007179,fl:ir_ln:kaur-1,1aef33b6-8b59-40c9-b150-a5e68d791579
10005762,fl:ke_ln:kawaguchi-15,43b5ef69-3f0a-4c71-bb5f-cc873eabd5da
10022408,fl:an_ln:wellejus-1,64ee34f4-08d4-4f64-be15-12506ff80c39
10021330,fl:ku_ln:hara-3,6145eccf-2944-4bfc-8a82-e87bfce4d434
10006484,fl:ke_ln:yuda-3,b1fa2783-b732-4cd3-a491-94758ff88921
10015052,fl:gu_ln:zhou-68,1c05a20f-07cc-4434-a847-a59a298f83c0
10015713,fl:fi_ln:mestanov-1,a7b79334-35a4-48e8-8143-47f2bfd65432
10022064,fl:jo_ln:kim-798,533e0469-baac-46b7-9576-669db08092eb
10008621,fl:st_ln:parascandola-1,1918bc79-3bf3-4be6-8ea5-c5438e714ae2
10009684,fl:ma_ln:gilbert-21,b995f77a-1baa-4b28-bef6-573e503dd542
